Altium Designer Pick and Place Locations
C:\Users\Sandr\projects\smartwatch\Hardware\SmartWatch\Project Outputs for SmartWatch\Pick Place\Pick Place for Smart_Watch.csv

========================================================================================================================
File Design Information:

Date:       25/03/25
Time:       20:23
Revision:   e83e547533daca377b67d6c9a9d0432c1287d08b
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C8","CC0402KRX7R7BB104","TopLayer","CAP-0402","95.8850","76.7000","90","CAP CER 0.1UF 16V X7R 0402"
"U5","ADXL362BCCZ-RL7","TopLayer","LGA_CC-16-4_ADI","106.1720","86.4870","0","Accelerometer X, Y, Z Axis ±2g, 4g, 8g 6.25Hz ~ 400Hz 16-LGA (3x3.25)"
"3V3","5003","TopLayer","TEST-POINT-0001","111.1250","95.2500","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"VBAT","5003","TopLayer","TEST-POINT-0001","94.3610","94.8690","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"R12","CRCW12100000Z0EA","BottomLayer","RES_CRCW_1210_VIS","100.4570","56.1340","90","No Description Available"
"R11","CRCW12100000Z0EA","TopLayer","RES_CRCW_1210_VIS","96.7740","83.5660","270","No Description Available"
"R10","CRCW12100000Z0EA","BottomLayer","RES_CRCW_1210_VIS","105.0290","56.2610","90","No Description Available"
"R6","RC0402FR-07470RL","BottomLayer","RES-0402","106.9340","61.7220","180","RES 470 OHM 1% 1/16W 0402"
"R7","RC0402FR-07470RL","BottomLayer","RES-0402","106.9340","60.4520","180","RES 470 OHM 1% 1/16W 0402"
"D3","BL-HKC36G-AV-TRB","BottomLayer","LED-0603","104.6099","60.4520","0","LED YELLOW CLEAR 0603 SMD"
"D1","BL-HKC36G-AV-TRB","BottomLayer","LED-0603","104.6099","61.7220","0","LED YELLOW CLEAR 0603 SMD"
"U7","TPS62172DSGR","TopLayer","DSG0008A_NV","102.9970","95.8850","0","No Description Available"
"R9","RC0603FR-07100KL","TopLayer","RES-0603","106.0280","95.8700","270","RES SMD 100K OHM 1% 1/10W 0603"
"L1","SRN8040-2R2Y","BottomLayer","PWRIND-2.2U-0001","104.7750","93.0910","0","2.2 µH Semi-Shielded Drum Core, Wirewound Inductor 6.3 A 13mOhm Max Nonstandard"
"D2","PDS760-13","TopLayer","DO-POWERDI5","98.0130","91.9070","90","DIODE SCHOTTKY 60V 7A POWERDI5"
"C15","LMK316AB7226KL-TR","TopLayer","CAP-1206_-_duplicate","106.2934","93.0910","0","10V 22uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C14","CC0603KRX5R6BB106","TopLayer","CAP-0603","100.9650","96.4310","270","CAP CER 10UF 10V X5R 0603"
"J2","SM02B-GHS-TB","TopLayer","CONN_SM02B-GHS_JST","88.1890","68.5700","270","No Description Available"
"J12","SM02B-GHS-TB","TopLayer","CONN_SM02B-GHS_JST","88.0620","75.9560","270","No Description Available"
"J11","SM02B-GHS-TB","TopLayer","CONN_SM02B-GHS_JST","88.0620","83.1950","270","No Description Available"
"J10","SM02B-GHS-TB","TopLayer","CONN_SM02B-GHS_JST","92.4560","89.6999","180","No Description Available"
"J9","B6B-ZR-SM4-TF","TopLayer","CONN_B6B-ZR-SM4-TF_JST","103.3780","56.8905","180","No Description Available"
"J8","B6B-ZR-SM4-TF","TopLayer","CONN_B6B-ZR-SM4-TF_JST","117.0940","63.8755","180","No Description Available"
"M3","5003","TopLayer","TEST-POINT-0001","83.1850","72.1360","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"M2","5003","TopLayer","TEST-POINT-0001","83.1850","75.6920","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"SDA","5003","TopLayer","TEST-POINT-0001","117.5172","57.2259","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"TX","5003","TopLayer","TEST-POINT-0001","112.0140","54.3560","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"M1","5003","TopLayer","TEST-POINT-0001","83.1850","79.2480","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"SCL","5003","TopLayer","TEST-POINT-0001","114.7232","55.8740","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"RX","5003","TopLayer","TEST-POINT-0001","94.7420","56.1340","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"J1","B8B-PH-SM4-TBLFSN","TopLayer","CONN_B8B-PH-SM4-TB_JST_-_DUPLICATE","118.4740","79.8350","90","No Description Available"
"U6","HC-05","BottomLayer","XCVR_HC-05","117.0940","71.8780","0","Bluetooth to Serial Port Module"
"R8","ERJ2GEJ103X","BottomLayer","RES-0402","107.3150","57.4040","270","100mW Thick Film Resistors 100V ±5% ±200ppm/? -55?~+155? 10kO 0402  Chip Resistor - Surface Mount ROHS"
"C13","CC0402KRX7R7BB104","TopLayer","CAP-0402","112.2680","78.7320","270","CAP CER 0.1UF 16V X7R 0402"
"SCLK","5003","TopLayer","TEST-POINT-0001","127.2540","73.0885","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"MISO","5003","TopLayer","TEST-POINT-0001","127.0000","81.2800","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"MOSI","5003","TopLayer","TEST-POINT-0001","127.2540","77.3430","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"CS_ACC","5003","TopLayer","TEST-POINT-0001","114.9350","95.1230","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"CS_LCD","5003","TopLayer","TEST-POINT-0001","126.7460","69.2150","0","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"P2","Header 4","TopLayer","HDR1X4","89.2720","60.2070","135","Header, 4-Pin"
"P1","Header 5","TopLayer","HDR1X5","115.3160","92.0750","180","Header, 5-Pin"
"R5","CRCW12100000Z0EA","TopLayer","RES_CRCW_1210_VIS","111.7346","86.2330","180","No Description Available"
"BT1","3024-2","BottomLayer","BAT_3024-2","95.8235","75.9781","90",""
"GND","5003","TopLayer","TEST-POINT-0001","112.0140","57.1500","90","Oranange PC Test Point, Miniature Phoisphor Bronze Silver Plating Through Hole Mounting Type"
"U2","STM32L433RCT6","TopLayer","LQFP64-10X10MM","104.9020","74.8030","0","ARM® Cortex®-M4 STM32L4 Microcontroller IC 32-Bit Single-Core 80MHz 256KB (256K x 8) FLASH 64-LQFP (10x10)"
"R4","RC0603FR-074K7L","TopLayer","RES-0603","113.9190","67.6910","180","RES 4.7K OHM 1% 1/10W 0603"
"R3","RC0603FR-074K7L","TopLayer","RES-0603","124.9680","65.0620","90","RES 4.7K OHM 1% 1/10W 0603"
"U3","W25Q16JVSSIQ","TopLayer","W25Q16JVSSIQ_WIN-M","96.6470","63.3730","0","FLASH - NOR Memory IC 16Mbit SPI - Quad I/O 133 MHz 8-SOIC"
"R2","RC0603FR-074K7L","TopLayer","RES-0603","118.8720","67.8180","0","RES 4.7K OHM 1% 1/10W 0603"
"Q1","T2N7002AK,LM","TopLayer","IC-SOT23-3","93.0910","69.4690","180","MOSFET N-CH 60V 200MA SOT23"
"C12","CC0402KRX7R7BB104","TopLayer","CAP-0402","107.0610","88.9000","0","CAP CER 0.1UF 16V X7R 0402"
"C11","CC0603KRX7R7BB105","TopLayer","CAP-0603","107.0610","90.2040","0","CAP CER 1UF 16V X7R 0603"
"C10","CC0402KRX7R7BB104","TopLayer","CAP-0402","103.1159","87.5723","180","CAP CER 0.1UF 16V X7R 0402"
"C7","CC0603KRX7R7BB105","TopLayer","CAP-0603","94.4227","72.8522","90","CAP CER 1UF 16V X7R 0603"
"C6","CC0402KRX7R7BB104","TopLayer","CAP-0402","97.3467","72.8807","90","CAP CER 0.1UF 16V X7R 0402"
"C5","GRM2195C1H103JA01D","TopLayer","CAP-0805","95.9847","72.8984","90","CAP CER 10000PF 50V C0G/NP0 0805"
"C4","CC0603KRX5R8BB475","TopLayer","CAP-0603","101.4628","83.6409","0","CAP CER 4.7UF 25V X5R 0603"
"C3","CC0402KRX7R7BB104","TopLayer","CAP-0402","101.1934","67.2691","180","CAP CER 0.1UF 16V X7R 0402"
"C2","CC0402KRX7R7BB104","TopLayer","CAP-0402","101.5289","82.3369","0","CAP CER 0.1UF 16V X7R 0402"
"C1","CC0402KRX7R7BB104","TopLayer","CAP-0402","109.1171","67.3961","180","CAP CER 0.1UF 16V X7R 0402"
